#;الاستمارة;Action;البيانات المرسلة;النتيجة;رسالة الرد;ملاحظات
1;المساعدات الطبية;submit;patient_name, national_id, phone_number, center, medicines (JSON), prescription_photo, id_photo;نجاح;تم تسجيل الحالة بنجاح;صيغة x-www-form-urlencoded. فحص تكرار الرقم القومي. صورتان اختياريتان.
2;التحويلات الطبية;referral;patient_name, patient_age, patient_gender, patient_phone, national_id, patient_center, patient_address, referral_date, referral_type + حقول ديناميكية;نجاح;تم تسجيل التحويل بنجاح;صيغة JSON. يدعم 5 أنواع تحويل. صورة اختيارية.
3;حصر الأدوية;hser_edwia;date, sec, tab (JSON array: name, ava, typ, do, quan, date_kw6pm91, takhassos);نجاح;تم تسجيل 1 دواء;صيغة x-www-form-urlencoded. لا صور. أدوية متعددة.
4;أدوية القوافل;adwyt_alqawafel;date, center, tab (JSON array: _, __001...__007);نجاح;تم تسجيل 1 دواء;صيغة x-www-form-urlencoded. لا صور. أسماء حقول مرمزة.
5;صرف أدوية القوافل;sarf_alqawafel;center, caravan_date, prescription_group (array);نجاح;تم تسجيل 1 روشتة;صيغة JSON. روشتات متعددة. تم إصلاح CORS headers.
6;نتائج القوافل;nata2_alqawafel;center, total_checkups, total_labs, other_interventions, other_interventions_count, specialties;نجاح;تم تسجيل نتائج القافلة;صيغة JSON. لا صور.
7;التعاقدات الطبية;taaqodat;entity_type, facility_name, contract_text, contract_photo, contractor_name, volunteer_number, name_contractor, job_title, facility_phone, detailed_address, location, center, notes;نجاح;تم تسجيل التعاقد بنجاح;صيغة JSON. صورة عقد اختيارية.
8;مصروفات الحالات;masroufat;patient_name, patient_code, integer_wa4xt75, center, prescription_photo, medications_group;نجاح;تم تسجيل المصروفات بنجاح;صيغة JSON. صورة اختيارية.
;;;;
=== الاستعلامات ===
#;النظام;مصدر البيانات;طريقة الاستعلام;النتيجة
1;استعلامات الأدوية (look);شيت 1HddJ7VRSfL6iH1JtiSFx4SR09VfSaMdbUgZGo-4AqHE → tab look;gviz/tq - بحث بـ 2 حروف;✓ يعمل - الشيت عام
2;استعلامات القوافل (convoy);نفس الشيت → tab convoy;gviz/tq - بحث بـ 4 حروف;✓ يعمل - الشيت عام
;;;;
=== الفيتشرز ===
#;الميزة;الحالة;ملاحظات
1;إرسال إلى Google Sheets;✓;جميع 8 استمارات
2;رفع الصور (base64 → Drive);✓;5 استمارات تدعم الصور
3;تصدير CSV;✓;تم إصلاح خطأ _downloadCSVTemplate
4;تصدير Excel;✓;تمت الإضافة في commit 31ae19b
5;حفظ محلي (localStorage);?;يحتاج اختبار يدوي
6;بحث وتصفية;✓;5 تبويبات + بحث نصي
7;Dark Mode;✓;index.html + الاستمارات.html
8;Toast Notifications;✓;نجاح/خطأ/معلومات
9;Skeleton Loading;✓;6 كروت pulse animation
10;فحص تكرار الرقم القومي;✓;checkNID عبر doGet
11;قوائم أدوية ديناميكية;✓;إضافة/حذف أدوية
12;إضافة روشتات متعددة;✓;خاص بصرف أدوية القوافل
13;ضغط الصور تلقائياً;✓;أكبر من 1MB يُضغط
14;إعادة المحاولة (Retry);✓;حتى 3 مرات
;;;;
=== الإصلاحات ===
#;التاريخ;الخطأ;الإصلاح;Commit
1;19/06/2026;تشفير عربي مزدوج في 8 ملفات;تحويل UTF-8 → Windows-1252 → UTF-8;198574b
2;19/06/2026;استدعاء دالة غير موجودة;تصحيح _downloadCSVTemplate → downloadCSVTemplate;31ae19b
3;19/06/2026;لا يوجد تصدير Excel;إضافة downloadXLS() في offline-utils.js;31ae19b
4;19/06/2026;إخفاء تسميات الأزرار;تغيير تصدير CSV ← CSV + إضافة زر Excel;31ae19b
5;19/06/2026;CORS Preflight: 5 استمارات JSON;تغيير Content-Type إلى text/plain لكل JSON forms;e318727
6;19/06/2026;تبسيط headers;إزالة mode:cors, cache:no-cache, charset, Accept من كل الاستمارات;e318727
7;19/06/2026;console.log للتصحيح;إضافة logs قبل fetch في صرف أدوية القوافل;a2a471c
